items.id,items.label,items.authors,items.journal,items.country,items.year,items.date,items.month,items.url
10598,"Reacciones (d,p) en los dos isótopos de Plata",M.E. Ortiz,Tesis de Maestría. Datos parcialmente publicados en Instr. y Desarrollo,Estados Unidos de América,1981,1981,1981,NA
10594,Dynamical response of a dipole near the surface of nonlocal metal,R. Fuchs y R.G. Barrera,Physical Review B,Estados Unidos de América,1981,1981,1981,NA
10597,Optical reflectance of nonlocal systems,R.G. Barrera y A. Bagchi,Physical Review B,Estados Unidos de América,1981,1981,1981,NA
10596,Optical properties of quasi-two-dimensional systems: Nonlocal effects,W.L. Mochán y R.G. Barrera,Physical Review B,Estados Unidos de América,1981,1981,1981,NA
10608,Local-field effect in the optical reflectance from adsorbed overlayers,"A. Bagchi, R.G. Barrera y R. Fuchs",Physical Review B,Estados Unidos de América,1982,1982,1982,NA
10606,Friction and geometry in O16-induced reactions,A. Menchaca-Rocha and M.E. Brandan,Physical Review C,Estados Unidos de América,1982,1982,1982,", , http://www.scopus.com/scopus/inward/record.url?eid=2-s2.0-35949022780&partnerID=40, 0"
10609,Nuclear rainbow scattering in C12-C12 above 160 MeV,Brandan M.E.,Physical Review Letters,Estados Unidos de América,1982,1982,1982,NA
10602,14N+13C Fusion Cross Sections and Compound   Nucleus  Limitation in  27Al,"D.E. DiGregorio, J. Gomez del Campo, Y.D. Chan, J.L.C. Ford, D. Shapira and M.E. Ortiz",Physical Review C,Estados Unidos de América,1982,1982,1982,
10610,R.Parks and D. DiGregorio. Measurements of Fusion Cross Sections for  the 14N+10B System,"M.E. Ortiz, Y.D. Chan, J.L.C. Ford,  J.Gomez  del  Campo,  D. Hensley, D. Shapira, R.G. Stokstad, F. Selleschop, D. Weiser",Physical Review C,Estados Unidos de América,1982,1982,1982,NA
10603,"A Deuterium and Oxygen-18 Study at Villa de Reyes, SLP.Mexico",P. Morales and R. Castillo,Revista Mexicana de Física,México,1982,1982,1982,NA
10611,Statistical interpretation of the local field inside dielectrics,R.G. Barrera y P.A. Mello,American Journal of Physics,Estados Unidos de América,1982,1982,1982,NA
