"cliente_nomenclatura","campaña_nomenclatura","llave_ventas","llave_unica_mp","versión","tipo_presupuesto","tipo_2","comentario","Año-Mes","mes_plan","campaña_nomenclatura","plataforma","fecha_inicio_plan","fecha_fin_plan","inicio_campaña","fin_campaña","costo_planeado","kpi_planeado","serving","inversión_plataforma","inversión_total","inversión_AdOps","Operativo_AdOps","Serving_AdOps","costo_operativo","semana","inicio_reporte","fin_reporte","inicio_campaña_reporte","fin_campaña_reporte","divisa","dinero_gastado","impresiones","clics","conversiones","revenue","llave_analytics","conversiones_directas","conversiones_asistidas","revenue_directo","revenue_asistido","total_conversiones","total_revenue","ultima_actualizacion"
"gicsa","explanadaculiacan","2003_gicsa_explanadaculiacan_pi_mkt_fb","2003_gicsa_explanadaculiacan_pi_mkt_fb_V1","V1","pi","mkt","información correcta, que tenemos en el mp y en las plataformas",2003,"Marzo","explanadaculiacan","Facebook","2020-03-01 0:00:00","2020-03-31 0:00:00","2020-03-05 0:00:00","2020-03-31 0:00:00",0,0,0,0,0,0,0,0,0,"semana_11","2020-03-17 0:00:00","2020-03-24 0:00:00","2020-03-17 0:00:00","2020-03-24 0:00:00","MXN",4856,56577,299,0,0,"2003_gicsa_explanadaculiacan_pi_mkt_fb_2020-03-17",0,0,0,0,0,0,"2020-04-30 10:32:07"
"gicsa","explanadaculiacan","2003_gicsa_explanadaculiacan_pi_mkt_fb","2003_gicsa_explanadaculiacan_pi_mkt_fb_V1","V1","pi","mkt","información correcta, que tenemos en el mp y en las plataformas",2003,"Marzo","explanadaculiacan","Facebook","2020-03-01 0:00:00","2020-03-31 0:00:00","2020-03-05 0:00:00","2020-03-31 0:00:00",0,0,0,0,0,0,0,0,0,"semana_12","2020-03-25 0:00:00","2020-03-31 0:00:00","2020-03-25 0:00:00","2020-03-31 0:00:00","MXN",3696,65704,194,0,0,"2003_gicsa_explanadaculiacan_pi_mkt_fb_2020-03-25",0,0,0,0,0,0,"2020-04-30 10:32:07"
"gicsa","explanadaculiacan","2003_gicsa_explanadaculiacan_pi_mkt_sem","2003_gicsa_explanadaculiacan_pi_mkt_sem_V1","V1","pi","mkt","información correcta, que tenemos en el mp y en las plataformas",2003,"Marzo","explanadaculiacan","Google Search","2020-03-01 0:00:00","2020-03-31 0:00:00","2020-03-06 0:00:00","2020-03-31 0:00:00",12,1792,0,"21500.00","21500.00","21500.00","21500.00",0,12,"semana_9","2020-03-01 0:00:00","2020-03-08 0:00:00","2020-03-06 0:00:00","2020-03-08 0:00:00","MXN",37,15,5,0,0,"2003_gicsa_explanadaculiacan_pi_mkt_sem_2020-03-01",0,0,0,0,0,0,"2020-04-30 10:32:07"
"gicsa","explanadaculiacan","2003_gicsa_explanadaculiacan_pi_mkt_sem","2003_gicsa_explanadaculiacan_pi_mkt_sem_V1","V1","pi","mkt","información correcta, que tenemos en el mp y en las plataformas",2003,"Marzo","explanadaculiacan","Google Search","2020-03-01 0:00:00","2020-03-31 0:00:00","2020-03-06 0:00:00","2020-03-31 0:00:00",0,0,0,0,0,0,0,0,0,"semana_11","2020-03-17 0:00:00","2020-03-24 0:00:00","2020-03-17 0:00:00","2020-03-24 0:00:00","MXN",182,522,5,0,0,"2003_gicsa_explanadaculiacan_pi_mkt_sem_2020-03-17",0,0,0,0,0,0,"2020-04-30 10:32:07"
"gicsa","explanadapachuca","2001_gicsa_explanadapachuca_pi_mkt_fb","2001_gicsa_explanadapachuca_pi_mkt_fb_V2","V2","pi","mkt","información correcta, que tenemos en el mp y en las plataformas",2001,"Enero","explanadapachuca","Facebook","2020-01-01 0:00:00","2020-01-31 0:00:00","2020-01-02 0:00:00","2020-01-31 0:00:00",2.825,36421,0,"38700.00","38700.00","38700.00","38700.00",0,2.83,"semana_1","2020-01-01 0:00:00","2020-01-08 0:00:00","2020-01-02 0:00:00","2020-01-08 0:00:00","MXN",6660,1145525,2187,0,0,"2001_gicsa_explanadapachuca_pi_mkt_fb_2020-01-01",0,0,0,0,0,0,"2020-04-30 10:32:07"
"gicsa","explanadapachuca","2001_gicsa_explanadapachuca_pi_mkt_sem","2001_gicsa_explanadapachuca_pi_mkt_sem_V2","V2","pi","mkt","información correcta, que tenemos en el mp y en las plataformas",2001,"Enero","explanadapachuca","Google Search","2020-01-01 0:00:00","2020-01-31 0:00:00","2019-09-06 0:00:00","2020-03-31 0:00:00",12,1075,0,"12900.00","12900.00","12900.00","12900.00",0,12,"semana_1","2020-01-01 0:00:00","2020-01-08 0:00:00","2020-01-01 0:00:00","2020-01-08 0:00:00","MXN",2564,11585,3514,0,0,"2001_gicsa_explanadapachuca_pi_mkt_sem_2020-01-01",0,0,0,0,0,0,"2020-04-30 10:32:07"
"gicsa","explanadapuebla","2001_gicsa_explanadapuebla_pi_mkt_fb","2001_gicsa_explanadapuebla_pi_mkt_fb_V2","V2","pi","mkt","información correcta, que tenemos en el mp y en las plataformas",2001,"Enero","explanadapuebla","Facebook","2020-01-01 0:00:00","2020-01-31 0:00:00","2020-01-02 0:00:00","2020-02-01 0:00:00",2.95,35167,0,"34400.00","34400.00","34400.00","34400.00",0,2.95,"semana_1","2020-01-01 0:00:00","2020-01-08 0:00:00","2020-01-02 0:00:00","2020-01-08 0:00:00","MXN",6352,1738291,2788,0,0,"2001_gicsa_explanadapuebla_pi_mkt_fb_2020-01-01",0,0,0,0,0,0,"2020-04-30 10:32:07"
"gicsa","explanadapuebla","2001_gicsa_explanadapuebla_pi_mkt_sem","2001_gicsa_explanadapuebla_pi_mkt_sem_V2","V2","pi","mkt","información correcta, que tenemos en el mp y en las plataformas",2001,"Enero","explanadapuebla","Google Search","2020-01-01 0:00:00","2020-01-31 0:00:00","2019-09-06 0:00:00","2020-03-31 0:00:00",12,716,0,"8600.00","8600.00","8600.00","8600.00",0,12,"semana_1","2020-01-01 0:00:00","2020-01-08 0:00:00","2020-01-01 0:00:00","2020-01-08 0:00:00","MXN",1730,32243,2531,0,0,"2001_gicsa_explanadapuebla_pi_mkt_sem_2020-01-01",0,0,0,0,0,0,"2020-04-30 10:32:07"
"gicsa","forumcuernavaca","2001_gicsa_forumcuernavaca_pi_mkt_fb","2001_gicsa_forumcuernavaca_pi_mkt_fb_V2","V2","pi","mkt","información correcta, que tenemos en el mp y en las plataformas",2001,"Enero","forumcuernavaca","Facebook","2020-01-01 0:00:00","2020-01-31 0:00:00","2020-01-03 0:00:00","2020-01-31 0:00:00",2.95,29459,0,"32680.00","32680.00","32680.00","32680.00",0,2.95,"semana_1","2020-01-01 0:00:00","2020-01-08 0:00:00","2020-01-03 0:00:00","2020-01-08 0:00:00","MXN",5212,1360463,1706,0,0,"2001_gicsa_forumcuernavaca_pi_mkt_fb_2020-01-01",0,0,0,0,0,0,"2020-04-30 10:32:07"
"gicsa","forumcuernavaca","2001_gicsa_forumcuernavaca_pi_mkt_sem","2001_gicsa_forumcuernavaca_pi_mkt_sem_V2","V2","pi","mkt","información correcta, que tenemos en el mp y en las plataformas",2001,"Enero","forumcuernavaca","Google Search","2020-01-01 0:00:00","2020-01-31 0:00:00","2019-09-06 0:00:00","2020-03-31 0:00:00",12,716,0,"8600.00","8600.00","8600.00","8600.00",0,12,"semana_1","2020-01-01 0:00:00","2020-01-08 0:00:00","2020-01-01 0:00:00","2020-01-08 0:00:00","MXN",1806,21863,1894,0,0,"2001_gicsa_forumcuernavaca_pi_mkt_sem_2020-01-01",0,0,0,0,0,0,"2020-04-30 10:32:07"
