cliente_nomenclatura,campaña_nomenclatura,llave_ventas,llave_unica_mp,versión,tipo_presupuesto,tipo_2,comentario,Año-Mes,mes_plan,campaña_nomenclatura,plataforma,fecha_inicio_plan,fecha_fin_plan,inicio_campaña,fin_campaña,costo_planeado,kpi_planeado,serving,inversión_plataforma,inversión_total,inversión_AdOps,Operativo_AdOps,Serving_AdOps,costo_operativo,inicio_reporte,fin_reporte,inicio_campaña_reporte,fin_campaña_reporte,divisa,dinero_gastado,impresiones,clics,conversiones,revenue,llave_analytics,conversiones_directas,conversiones_asistidas,revenue_directo,revenue_asistido,total_conversiones,total_revenue,ultima_actualizacion
gicsa,explanadapuebla,2002_gicsa_explanadapuebla_pi_mkt_sem,2002_gicsa_explanadapuebla_pi_mkt_sem_V2,V2,pi,mkt,"información correcta, que tenemos en el mp y en las plataformas",2002,Febrero,explanadapuebla,Google Search,2020-02-01 0:00:00,2020-02-28 0:00:00,2019-09-06 0:00:00,2020-03-31 0:00:00,12,716,0,8600,8600,8600,8600,0,12,2020-02-01 0:00:00,2020-02-29 0:00:00,2020-02-01 0:00:00,2020-02-29 0:00:00,MXN,8998.37,184543,9971,0,0,2002_gicsa_explanadapuebla_pi_mkt_sem_2020-02-01,0,0,0,0,0,0,2020-04-30 10:13:12
gicsa,explanadapuebla,2003_gicsa_explanadapuebla_pi_mkt_fb,2003_gicsa_explanadapuebla_pi_mkt_fb_V1,V1,pi,mkt,"información correcta, que tenemos en el mp y en las plataformas",2003,Marzo,explanadapuebla,Facebook,2020-03-01 0:00:00,2020-03-31 0:00:00,2020-03-02 0:00:00,2020-04-01 0:00:00,2.95,35167,0,34400,34400,34400,34400,0,2.95,2020-03-01 0:00:00,2020-03-31 0:00:00,2020-03-02 0:00:00,2020-03-31 0:00:00,MXN,35250.62,5550156,4001,0,0,2003_gicsa_explanadapuebla_pi_mkt_fb_2020-03-01,0,0,0,0,0,0,2020-04-30 10:13:12
gicsa,explanadapuebla,2003_gicsa_explanadapuebla_pi_mkt_sem,2003_gicsa_explanadapuebla_pi_mkt_sem_V1,V1,pi,mkt,"información correcta, que tenemos en el mp y en las plataformas",2003,Marzo,explanadapuebla,Google Search,2020-03-01 0:00:00,2020-03-31 0:00:00,2019-09-06 0:00:00,2020-03-31 0:00:00,12,716,0,8600,8600,8600,8600,0,12,2020-03-01 0:00:00,2020-03-31 0:00:00,2020-03-01 0:00:00,2020-03-31 0:00:00,MXN,6192.84,130257,5498,0,0,2003_gicsa_explanadapuebla_pi_mkt_sem_2020-03-01,0,0,0,0,0,0,2020-04-30 10:13:12
gicsa,forumcuernavaca,2001_gicsa_forumcuernavaca_pi_mkt_fb,2001_gicsa_forumcuernavaca_pi_mkt_fb_V2,V2,pi,mkt,"información correcta, que tenemos en el mp y en las plataformas",2001,Enero,forumcuernavaca,Facebook,2020-01-01 0:00:00,2020-01-31 0:00:00,2020-01-03 0:00:00,2020-02-01 0:00:00,2.95,29459,0,32680,32680,32680,32680,0,2.95,2020-01-01 0:00:00,2020-01-31 0:00:00,2020-01-03 0:00:00,2020-01-31 0:00:00,MXN,32016.6,7311164,9072,0,0,2001_gicsa_forumcuernavaca_pi_mkt_fb_2020-01-01,0,0,0,0,0,0,2020-04-30 10:13:12
gicsa,forumcuernavaca,2001_gicsa_forumcuernavaca_pi_mkt_fb,2001_gicsa_forumcuernavaca_pi_mkt_fb_V2,V2,pi,mkt,"información correcta, que tenemos en el mp y en las plataformas",2001,Enero,forumcuernavaca,Facebook,2020-01-01 0:00:00,2020-01-31 0:00:00,2020-01-27 0:00:00,2020-02-01 0:00:00,0,0,0,0,0,0,0,0,0,2020-02-01 0:00:00,2020-02-29 0:00:00,2020-02-01 0:00:00,2020-02-01 0:00:00,MXN,68.76,9515,1,0,0,2001_gicsa_forumcuernavaca_pi_mkt_fb_2020-02-01,0,0,0,0,0,0,2020-04-30 10:13:12
gicsa,forumcuernavaca,2001_gicsa_forumcuernavaca_pi_mkt_sem,2001_gicsa_forumcuernavaca_pi_mkt_sem_V2,V2,pi,mkt,"información correcta, que tenemos en el mp y en las plataformas",2001,Enero,forumcuernavaca,Google Search,2020-01-01 0:00:00,2020-01-31 0:00:00,2019-09-06 0:00:00,2020-03-31 0:00:00,12,716,0,8600,8600,8600,8600,0,12,2020-01-01 0:00:00,2020-01-31 0:00:00,2020-01-01 0:00:00,2020-01-31 0:00:00,MXN,5955.38,64850,5185,0,0,2001_gicsa_forumcuernavaca_pi_mkt_sem_2020-01-01,0,0,0,0,0,0,2020-04-30 10:13:12
gicsa,forumcuernavaca,2002_gicsa_forumcuernavaca_pi_mkt_fb,2002_gicsa_forumcuernavaca_pi_mkt_fb_V2,V2,pi,mkt,"información correcta, que tenemos en el mp y en las plataformas",2002,Febrero,forumcuernavaca,Facebook,2020-02-01 0:00:00,2020-02-28 0:00:00,2020-02-01 0:00:00,2020-03-05 0:00:00,2.95,29459,0,32680,32680,32680,32680,0,2.95,2020-02-01 0:00:00,2020-02-29 0:00:00,2020-02-01 0:00:00,2020-02-29 0:00:00,MXN,31775,4160123,3359,0,0,2002_gicsa_forumcuernavaca_pi_mkt_fb_2020-02-01,0,0,0,0,0,0,2020-04-30 10:13:12
gicsa,forumcuernavaca,2002_gicsa_forumcuernavaca_pi_mkt_fb,2002_gicsa_forumcuernavaca_pi_mkt_fb_V2,V2,pi,mkt,"información correcta, que tenemos en el mp y en las plataformas",2002,Febrero,forumcuernavaca,Facebook,2020-02-01 0:00:00,2020-02-28 0:00:00,2020-02-26 0:00:00,2020-03-05 0:00:00,0,0,0,0,0,0,0,0,0,2020-03-01 0:00:00,2020-03-31 0:00:00,2020-03-01 0:00:00,2020-03-05 0:00:00,MXN,753.32,96673,226,0,0,2002_gicsa_forumcuernavaca_pi_mkt_fb_2020-03-01,0,0,0,0,0,0,2020-04-30 10:13:12
gicsa,forumcuernavaca,2002_gicsa_forumcuernavaca_pi_mkt_sem,2002_gicsa_forumcuernavaca_pi_mkt_sem_V2,V2,pi,mkt,"información correcta, que tenemos en el mp y en las plataformas",2002,Febrero,forumcuernavaca,Google Search,2020-02-01 0:00:00,2020-02-28 0:00:00,2019-09-06 0:00:00,2020-03-31 0:00:00,12,716,0,8600,8600,8600,8600,0,12,2020-02-01 0:00:00,2020-02-29 0:00:00,2020-02-01 0:00:00,2020-02-29 0:00:00,MXN,591.94,168,10,0,0,2002_gicsa_forumcuernavaca_pi_mkt_sem_2020-02-01,0,0,0,0,0,0,2020-04-30 10:13:12
gicsa,forumcuernavaca,2003_gicsa_forumcuernavaca_pi_mkt_fb,2003_gicsa_forumcuernavaca_pi_mkt_fb_V1,V1,pi,mkt,"información correcta, que tenemos en el mp y en las plataformas",2003,Marzo,forumcuernavaca,Facebook,2020-03-01 0:00:00,2020-03-31 0:00:00,2020-03-02 0:00:00,2020-04-03 0:00:00,2.95,29459,0,32680,32680,32680,32680,0,2.95,2020-03-01 0:00:00,2020-03-31 0:00:00,2020-03-02 0:00:00,2020-03-31 0:00:00,MXN,34466.11,4829538,2013,0,0,2003_gicsa_forumcuernavaca_pi_mkt_fb_2020-03-01,0,0,0,0,0,0,2020-04-30 10:13:12
